id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
154465,Female,53,1,8.0,0,1-2 Year,Yes,37183.0,31.0,287,1
291101,Male,28,1,36.0,0,< 1 Year,Yes,30434.0,124.0,215,1
265069,Male,53,1,41.0,0,1-2 Year,Yes,27860.0,124.0,226,1
42573,Male,48,1,46.0,0,1-2 Year,Yes,30550.0,124.0,104,1
201347,Female,61,1,28.0,0,1-2 Year,Yes,60101.0,122.0,226,0
49221,Male,25,1,50.0,0,< 1 Year,No,27101.0,152.0,61,0
100697,Female,21,1,3.0,1,< 1 Year,No,25362.0,152.0,274,0
306951,Male,57,1,17.0,0,> 2 Years,Yes,55340.0,26.0,19,0
114450,Male,22,1,41.0,0,1-2 Year,Yes,2630.0,163.0,258,1
53715,Male,54,1,8.0,1,1-2 Year,No,47142.0,124.0,222,0
3168,Male,51,1,41.0,0,1-2 Year,Yes,26602.0,26.0,153,0
380228,Female,27,1,46.0,1,< 1 Year,No,25881.0,152.0,159,0
141307,Female,35,1,28.0,0,1-2 Year,Yes,27946.0,156.0,175,1
108257,Female,22,1,41.0,0,< 1 Year,Yes,34163.0,124.0,176,1
229765,Female,27,1,3.0,0,1-2 Year,Yes,20369.0,26.0,244,0
63080,Female,28,1,21.0,0,< 1 Year,Yes,34544.0,152.0,153,1
193449,Male,37,1,28.0,0,1-2 Year,Yes,39441.0,26.0,219,1
15845,Female,22,1,5.0,0,< 1 Year,Yes,28474.0,152.0,299,0
312275,Male,57,1,28.0,0,1-2 Year,Yes,26636.0,26.0,262,1
111875,Female,20,1,36.0,0,< 1 Year,Yes,35232.0,160.0,91,1
47887,Male,21,1,26.0,0,< 1 Year,Yes,36737.0,152.0,102,0
58861,Female,21,1,39.0,0,< 1 Year,Yes,37608.0,160.0,220,0
73515,Male,46,1,28.0,0,1-2 Year,Yes,29945.0,124.0,179,1
58987,Female,29,1,41.0,1,< 1 Year,No,2630.0,152.0,283,0
24894,Male,42,1,28.0,0,1-2 Year,Yes,37329.0,26.0,118,1
83343,Female,29,1,41.0,1,< 1 Year,No,48033.0,152.0,291,0
147535,Male,38,1,28.0,0,1-2 Year,Yes,2630.0,124.0,110,1
189739,Female,43,1,28.0,1,1-2 Year,No,35988.0,124.0,150,0
298303,Male,42,1,28.0,0,> 2 Years,Yes,37147.0,124.0,64,1
333253,Female,23,1,41.0,0,< 1 Year,Yes,43440.0,26.0,175,1
69688,Male,46,1,24.0,0,1-2 Year,Yes,31231.0,26.0,190,1
224177,Female,49,1,28.0,0,> 2 Years,Yes,29928.0,124.0,248,1
121675,Male,57,1,28.0,0,1-2 Year,Yes,2630.0,156.0,81,1
151070,Male,35,1,40.0,0,1-2 Year,Yes,2630.0,152.0,93,0
279630,Female,52,1,50.0,0,1-2 Year,Yes,34671.0,124.0,42,0
150189,Male,51,1,8.0,0,1-2 Year,Yes,29954.0,7.0,232,1
95312,Female,25,1,41.0,1,< 1 Year,No,30707.0,152.0,101,0
282032,Female,26,1,28.0,1,1-2 Year,No,34448.0,124.0,287,0
196007,Female,43,1,28.0,0,1-2 Year,Yes,30097.0,26.0,66,1
117239,Male,38,1,28.0,0,1-2 Year,Yes,28978.0,122.0,42,0
353719,Female,55,1,28.0,0,1-2 Year,Yes,42349.0,26.0,213,1
136723,Male,36,1,28.0,0,1-2 Year,Yes,2630.0,26.0,48,1
86269,Female,75,1,15.0,0,1-2 Year,Yes,47244.0,26.0,234,0
262834,Male,60,1,28.0,1,1-2 Year,No,2630.0,124.0,243,0
254001,Female,23,1,28.0,0,< 1 Year,Yes,58307.0,152.0,93,0
195046,Male,45,1,28.0,0,> 2 Years,Yes,51410.0,13.0,217,1
324059,Male,58,1,41.0,0,> 2 Years,Yes,42766.0,136.0,221,1
290493,Female,43,1,28.0,0,1-2 Year,Yes,89765.0,26.0,166,1
194088,Male,25,1,30.0,0,< 1 Year,Yes,52451.0,152.0,256,1
299226,Female,50,1,28.0,0,1-2 Year,Yes,47037.0,26.0,185,1
87849,Female,38,1,6.0,0,1-2 Year,Yes,21847.0,124.0,298,1
161290,Male,43,1,24.0,0,1-2 Year,Yes,32133.0,26.0,219,1
275586,Female,62,1,33.0,0,1-2 Year,Yes,36657.0,124.0,138,1
266769,Male,58,1,28.0,0,1-2 Year,Yes,26614.0,124.0,158,1
116325,Female,37,1,28.0,0,1-2 Year,Yes,31475.0,26.0,134,1
260805,Male,25,1,41.0,1,< 1 Year,No,15378.0,152.0,97,0
44801,Male,71,1,22.0,0,1-2 Year,Yes,24056.0,124.0,60,1
181733,Female,51,1,10.0,0,1-2 Year,Yes,2630.0,155.0,158,1
161579,Female,21,1,37.0,0,< 1 Year,Yes,27241.0,160.0,121,0
219409,Female,59,1,28.0,0,> 2 Years,Yes,29885.0,122.0,80,1
74434,Male,55,1,8.0,0,1-2 Year,Yes,2630.0,26.0,194,1
133774,Female,24,1,11.0,1,< 1 Year,No,25054.0,152.0,251,0
247011,Male,39,1,29.0,0,1-2 Year,Yes,27447.0,155.0,295,1
98445,Male,32,1,28.0,0,1-2 Year,Yes,52443.0,124.0,222,1
202858,Female,59,1,28.0,0,1-2 Year,Yes,46743.0,29.0,242,1
249942,Male,55,1,28.0,0,> 2 Years,Yes,101680.0,30.0,17,1
49454,Male,22,1,21.0,1,< 1 Year,No,2630.0,160.0,209,0
358181,Female,64,1,8.0,0,1-2 Year,Yes,84691.0,25.0,71,1
80035,Male,56,1,8.0,0,1-2 Year,Yes,2630.0,124.0,195,0
43890,Male,72,1,32.0,1,1-2 Year,No,36764.0,26.0,289,0
303713,Male,23,1,8.0,1,< 1 Year,No,47899.0,152.0,240,0
214505,Male,62,1,0.0,0,> 2 Years,Yes,2630.0,122.0,186,0
133165,Female,24,1,12.0,0,< 1 Year,No,2630.0,152.0,276,0
90281,Male,22,1,28.0,1,< 1 Year,No,39452.0,152.0,133,0
216071,Male,22,1,2.0,0,< 1 Year,Yes,2630.0,160.0,156,1
239892,Male,22,1,35.0,1,< 1 Year,No,2630.0,152.0,68,0
289287,Female,49,1,46.0,1,1-2 Year,No,23292.0,122.0,128,0
278497,Male,28,1,3.0,0,< 1 Year,Yes,29609.0,26.0,213,1
40224,Female,73,1,33.0,1,1-2 Year,No,34356.0,24.0,164,0
117926,Male,43,1,28.0,1,1-2 Year,No,31507.0,55.0,248,0
63396,Male,48,1,30.0,0,1-2 Year,Yes,36608.0,124.0,39,1
237405,Female,73,1,28.0,1,1-2 Year,No,47636.0,13.0,218,0
148801,Female,44,1,35.0,0,1-2 Year,Yes,2630.0,156.0,95,1
150143,Male,79,1,28.0,1,1-2 Year,No,37956.0,26.0,100,0
157623,Male,58,1,28.0,0,1-2 Year,Yes,44660.0,124.0,236,0
243118,Female,45,1,28.0,1,1-2 Year,No,43269.0,124.0,86,0
223489,Male,39,1,28.0,0,1-2 Year,Yes,47975.0,26.0,212,1
246076,Female,45,1,33.0,0,1-2 Year,Yes,2630.0,26.0,66,1
166206,Male,54,1,28.0,0,1-2 Year,Yes,25930.0,124.0,81,1
92811,Female,26,1,25.0,1,< 1 Year,No,18415.0,152.0,248,0
76835,Male,21,1,3.0,1,< 1 Year,No,21018.0,152.0,59,0
23914,Female,27,1,41.0,0,< 1 Year,Yes,36087.0,152.0,249,1
305066,Female,24,1,28.0,1,< 1 Year,No,81202.0,152.0,86,0
251821,Male,38,1,46.0,0,1-2 Year,Yes,23851.0,163.0,12,1
89264,Male,50,1,28.0,0,1-2 Year,Yes,40646.0,26.0,215,1
32230,Female,40,1,28.0,0,1-2 Year,Yes,40832.0,124.0,73,1
284836,Male,21,1,47.0,0,< 1 Year,No,37118.0,160.0,178,1
53485,Male,40,1,32.0,0,1-2 Year,Yes,2630.0,157.0,74,0
48243,Female,37,1,28.0,0,1-2 Year,Yes,56832.0,26.0,269,0
272123,Male,27,1,41.0,0,< 1 Year,Yes,29467.0,124.0,80,1
276523,Male,39,1,39.0,0,1-2 Year,Yes,2630.0,124.0,193,0
169899,Female,26,1,29.0,1,< 1 Year,No,50419.0,152.0,120,0
330919,Female,54,1,46.0,0,1-2 Year,Yes,30251.0,26.0,57,1
169632,Male,41,1,51.0,0,1-2 Year,Yes,27982.0,163.0,252,0
9194,Female,25,1,3.0,1,< 1 Year,No,20740.0,152.0,156,0
82939,Male,34,1,28.0,1,< 1 Year,No,38728.0,152.0,71,0
286533,Male,45,1,28.0,0,1-2 Year,Yes,41810.0,124.0,119,1
278744,Male,55,1,28.0,0,1-2 Year,Yes,42555.0,124.0,296,0
18307,Male,48,1,8.0,1,1-2 Year,No,42786.0,26.0,206,0
168156,Female,71,1,28.0,0,1-2 Year,Yes,53423.0,26.0,113,0
211458,Female,23,1,8.0,1,< 1 Year,No,35834.0,152.0,214,0
124397,Male,60,1,11.0,0,> 2 Years,Yes,27772.0,124.0,122,1
130672,Male,51,1,46.0,0,1-2 Year,Yes,26668.0,11.0,46,1
281061,Male,50,1,8.0,0,1-2 Year,Yes,34819.0,26.0,30,1
15603,Male,51,1,11.0,0,1-2 Year,Yes,33435.0,124.0,262,1
57745,Female,32,1,33.0,1,< 1 Year,No,32754.0,152.0,159,0
230514,Female,26,1,23.0,1,< 1 Year,No,28445.0,152.0,144,0
353409,Male,44,1,24.0,0,1-2 Year,Yes,39168.0,122.0,121,1
257877,Male,35,1,28.0,0,1-2 Year,Yes,40499.0,124.0,77,1
349863,Female,22,1,47.0,1,< 1 Year,No,33017.0,152.0,236,0
146749,Female,35,1,7.0,0,1-2 Year,Yes,2630.0,163.0,97,1
80829,Male,59,1,28.0,0,> 2 Years,Yes,73861.0,26.0,293,1
152888,Male,51,1,8.0,0,1-2 Year,Yes,29690.0,26.0,52,1
295253,Male,35,1,11.0,1,1-2 Year,No,2630.0,152.0,123,0
68760,Female,36,1,41.0,1,1-2 Year,No,31083.0,152.0,64,0
294595,Female,23,1,36.0,0,< 1 Year,Yes,31139.0,160.0,57,0
148352,Male,64,1,35.0,0,1-2 Year,Yes,45908.0,26.0,74,1
291190,Male,42,1,6.0,0,1-2 Year,Yes,2630.0,154.0,254,0
30109,Female,41,1,29.0,0,1-2 Year,Yes,2630.0,122.0,194,0
344765,Female,25,1,36.0,1,< 1 Year,No,34552.0,152.0,277,0
87415,Male,45,1,28.0,0,1-2 Year,Yes,43973.0,55.0,239,0
349288,Female,37,1,28.0,0,1-2 Year,Yes,29593.0,26.0,119,1
46636,Male,24,1,32.0,0,< 1 Year,Yes,24632.0,152.0,121,0
319486,Male,48,1,48.0,0,1-2 Year,Yes,2630.0,124.0,106,1
72158,Female,78,1,28.0,0,1-2 Year,Yes,48359.0,26.0,60,0
102508,Male,48,1,28.0,0,1-2 Year,Yes,50140.0,26.0,50,1
261876,Male,51,1,13.0,0,1-2 Year,Yes,28583.0,124.0,47,1
188199,Female,66,1,46.0,0,1-2 Year,Yes,28743.0,26.0,144,1
353299,Male,20,1,45.0,0,< 1 Year,Yes,18714.0,160.0,238,0
170056,Male,53,1,28.0,0,1-2 Year,Yes,46163.0,124.0,127,1
275609,Male,29,1,21.0,1,< 1 Year,No,2630.0,152.0,277,0
70420,Male,37,1,30.0,0,1-2 Year,Yes,36654.0,124.0,191,1
8226,Female,35,1,36.0,0,1-2 Year,Yes,2630.0,160.0,242,0
109360,Male,33,1,30.0,1,< 1 Year,No,2630.0,152.0,186,0
182157,Female,38,1,28.0,0,1-2 Year,Yes,37578.0,157.0,220,1
176507,Female,27,1,8.0,1,< 1 Year,No,26313.0,152.0,221,0
223543,Male,36,1,31.0,0,1-2 Year,Yes,2630.0,124.0,106,1
140216,Female,24,1,11.0,0,1-2 Year,Yes,33812.0,124.0,200,0
107810,Male,48,1,41.0,1,1-2 Year,No,28973.0,26.0,231,0
66901,Male,50,1,46.0,0,1-2 Year,Yes,33305.0,124.0,200,1
309602,Male,26,1,36.0,1,< 1 Year,No,34075.0,152.0,224,0
305412,Male,34,1,49.0,0,1-2 Year,Yes,2630.0,157.0,264,1
264251,Male,24,1,39.0,1,< 1 Year,No,28357.0,152.0,136,0
366838,Female,39,1,11.0,0,1-2 Year,Yes,22423.0,120.0,258,0
207590,Male,25,1,13.0,1,< 1 Year,No,31570.0,152.0,280,0
256546,Female,42,1,28.0,0,> 2 Years,Yes,31101.0,26.0,157,1
52130,Female,28,1,28.0,0,< 1 Year,Yes,56046.0,124.0,291,1
3977,Male,51,1,8.0,0,1-2 Year,Yes,2630.0,25.0,295,0
4913,Male,25,1,28.0,0,< 1 Year,No,43065.0,152.0,32,0
196463,Male,43,1,28.0,0,1-2 Year,Yes,43229.0,52.0,82,1
216079,Female,24,1,7.0,0,< 1 Year,Yes,42539.0,152.0,55,0
46188,Female,47,1,47.0,0,1-2 Year,Yes,33946.0,154.0,254,1
199877,Male,46,1,8.0,0,1-2 Year,Yes,41674.0,26.0,128,1
238537,Female,48,1,28.0,0,> 2 Years,Yes,35959.0,122.0,100,0
245769,Female,73,1,46.0,0,1-2 Year,Yes,27239.0,26.0,246,0
247945,Male,79,1,50.0,0,> 2 Years,Yes,31763.0,8.0,10,1
137156,Male,50,1,8.0,0,1-2 Year,Yes,2630.0,26.0,37,0
181447,Male,27,1,8.0,0,< 1 Year,Yes,39049.0,154.0,99,1
319585,Male,25,1,26.0,0,1-2 Year,Yes,38388.0,124.0,181,1
150111,Female,56,1,8.0,0,1-2 Year,No,34571.0,26.0,256,0
258681,Female,56,1,46.0,1,1-2 Year,No,56285.0,124.0,271,0
246928,Female,34,1,2.0,0,1-2 Year,Yes,2630.0,156.0,292,1
34941,Female,23,1,30.0,1,< 1 Year,No,21761.0,152.0,250,0
330013,Male,32,1,3.0,0,1-2 Year,Yes,21718.0,124.0,95,1
272479,Male,52,1,4.0,0,1-2 Year,Yes,29007.0,124.0,280,1
179195,Male,42,1,28.0,0,1-2 Year,Yes,45179.0,124.0,172,1
361622,Male,42,1,28.0,0,1-2 Year,Yes,50417.0,124.0,272,1
320939,Male,57,1,35.0,0,> 2 Years,Yes,37595.0,124.0,72,1
38642,Female,20,1,28.0,0,1-2 Year,Yes,52230.0,154.0,52,1
107796,Female,58,1,28.0,0,1-2 Year,Yes,35106.0,26.0,94,1
260280,Male,52,1,28.0,0,1-2 Year,Yes,48094.0,26.0,13,1
141738,Female,38,1,38.0,0,1-2 Year,Yes,21835.0,60.0,115,1
7739,Female,36,1,30.0,1,1-2 Year,No,28787.0,152.0,22,0
338437,Male,41,1,35.0,0,1-2 Year,Yes,2630.0,156.0,18,1
117927,Male,23,1,46.0,0,< 1 Year,Yes,30051.0,152.0,256,0
209008,Male,51,1,28.0,0,> 2 Years,Yes,37596.0,124.0,244,1
48277,Male,59,1,8.0,1,1-2 Year,Yes,35463.0,3.0,219,0
49414,Female,43,1,7.0,0,1-2 Year,Yes,53031.0,124.0,273,1
100970,Female,28,1,15.0,1,< 1 Year,No,32571.0,152.0,40,0
237463,Female,22,1,36.0,0,< 1 Year,Yes,34245.0,152.0,150,0
192150,Female,38,1,7.0,0,1-2 Year,Yes,37344.0,26.0,76,1
207500,Male,80,1,28.0,0,1-2 Year,Yes,48764.0,124.0,10,1
251964,Male,44,1,4.0,0,1-2 Year,Yes,23443.0,124.0,184,1
21632,Male,45,1,4.0,0,1-2 Year,Yes,2630.0,26.0,72,0
95539,Male,41,1,28.0,0,1-2 Year,Yes,29590.0,157.0,283,1
32016,Female,33,1,46.0,0,< 1 Year,Yes,28671.0,124.0,105,1
311841,Male,51,1,28.0,0,> 2 Years,Yes,33454.0,26.0,109,0
105346,Male,26,1,29.0,1,< 1 Year,No,38539.0,152.0,43,0
81548,Female,54,1,29.0,0,1-2 Year,Yes,38892.0,124.0,168,1
378960,Male,44,1,28.0,0,1-2 Year,Yes,39239.0,124.0,169,1
108685,Female,30,1,50.0,0,< 1 Year,Yes,34210.0,156.0,122,1
167636,Female,41,1,28.0,0,1-2 Year,Yes,30684.0,157.0,193,1
247502,Male,40,1,28.0,1,1-2 Year,No,71819.0,152.0,132,0
80832,Male,50,1,28.0,0,> 2 Years,Yes,2630.0,156.0,294,1
1004,Female,25,1,41.0,1,< 1 Year,No,23420.0,152.0,90,0
165281,Male,40,1,8.0,0,1-2 Year,Yes,39713.0,26.0,65,1
267400,Female,38,1,28.0,0,1-2 Year,Yes,24932.0,124.0,272,1
131054,Female,51,1,39.0,0,1-2 Year,Yes,2630.0,124.0,146,1
29158,Female,30,1,15.0,1,< 1 Year,No,41730.0,152.0,236,0
184393,Male,41,1,28.0,0,1-2 Year,Yes,44095.0,157.0,257,1
83571,Male,39,1,28.0,0,1-2 Year,Yes,2630.0,124.0,213,0
188761,Female,33,1,35.0,0,1-2 Year,Yes,25112.0,124.0,113,1
136475,Male,46,1,28.0,0,> 2 Years,Yes,2630.0,26.0,136,0
361352,Female,52,1,13.0,0,1-2 Year,Yes,32175.0,124.0,87,1
11006,Male,46,1,8.0,0,1-2 Year,Yes,42822.0,124.0,249,1
281539,Female,42,1,41.0,0,1-2 Year,Yes,2630.0,124.0,233,1
319463,Female,27,1,28.0,0,< 1 Year,Yes,35074.0,155.0,105,1
304343,Male,59,1,28.0,0,1-2 Year,Yes,25199.0,124.0,28,0
252859,Male,46,1,8.0,0,1-2 Year,Yes,60648.0,124.0,215,1
40911,Male,49,1,11.0,0,1-2 Year,No,26163.0,124.0,95,0
246420,Male,46,1,19.0,0,1-2 Year,Yes,37010.0,26.0,178,0
109525,Male,40,1,16.0,0,1-2 Year,Yes,2630.0,163.0,68,1
169697,Female,52,1,28.0,0,1-2 Year,Yes,44679.0,122.0,292,0
250467,Male,21,1,13.0,0,< 1 Year,Yes,28142.0,160.0,129,0
193719,Male,39,1,46.0,0,1-2 Year,Yes,2630.0,163.0,224,1
169047,Male,45,1,36.0,0,1-2 Year,Yes,55992.0,26.0,20,1
225793,Female,59,1,27.0,0,1-2 Year,Yes,22514.0,26.0,274,0
276619,Male,73,1,12.0,0,1-2 Year,Yes,28575.0,26.0,129,1
208735,Female,24,1,16.0,1,< 1 Year,No,33464.0,152.0,252,0
97868,Male,29,1,28.0,0,< 1 Year,Yes,54063.0,154.0,222,1
101927,Female,62,1,8.0,0,1-2 Year,Yes,36839.0,124.0,133,1
139416,Male,30,1,45.0,0,1-2 Year,No,30689.0,124.0,77,0
253724,Male,23,1,50.0,1,< 1 Year,No,38925.0,152.0,232,0
288723,Male,55,1,43.0,0,1-2 Year,Yes,33005.0,157.0,244,1
280571,Male,44,1,35.0,0,1-2 Year,Yes,21763.0,124.0,156,0
223689,Male,37,1,28.0,0,1-2 Year,Yes,30495.0,26.0,134,0
78499,Male,39,1,28.0,0,1-2 Year,Yes,23659.0,124.0,256,1
327029,Female,48,1,46.0,0,1-2 Year,Yes,2630.0,26.0,154,1
315184,Female,33,1,24.0,1,< 1 Year,No,2630.0,152.0,257,0
318098,Female,27,1,11.0,1,< 1 Year,No,53655.0,152.0,213,0
315261,Female,20,1,39.0,0,< 1 Year,No,33130.0,160.0,161,0
278779,Male,62,1,28.0,1,1-2 Year,No,52975.0,26.0,248,0
170418,Female,46,1,37.0,1,1-2 Year,No,2630.0,160.0,10,0
63668,Male,21,1,6.0,0,< 1 Year,Yes,28583.0,152.0,245,1
213501,Male,69,1,11.0,0,1-2 Year,Yes,26296.0,26.0,27,1
260760,Male,26,1,23.0,0,< 1 Year,Yes,18832.0,152.0,177,1
318582,Female,26,1,35.0,1,< 1 Year,No,33323.0,152.0,11,0
131562,Male,53,1,28.0,0,1-2 Year,Yes,37066.0,124.0,221,1
58771,Female,44,1,8.0,0,1-2 Year,Yes,2630.0,124.0,191,1
143255,Male,21,1,32.0,0,< 1 Year,Yes,30869.0,160.0,99,0
366861,Male,73,1,28.0,0,1-2 Year,Yes,54798.0,124.0,278,0
251619,Male,40,1,8.0,0,1-2 Year,Yes,44185.0,124.0,105,1
122312,Female,46,1,28.0,0,1-2 Year,Yes,48137.0,26.0,245,1
3779,Male,49,1,28.0,0,1-2 Year,Yes,46195.0,26.0,157,0
152862,Male,27,1,19.0,0,< 1 Year,Yes,25637.0,152.0,29,1
324174,Male,74,1,17.0,0,1-2 Year,Yes,2630.0,143.0,15,0
171729,Male,55,1,28.0,0,1-2 Year,Yes,31697.0,26.0,81,1
272983,Male,74,1,8.0,0,1-2 Year,No,35974.0,124.0,289,0
35220,Male,37,1,35.0,0,1-2 Year,Yes,2630.0,156.0,279,1
136235,Female,24,1,32.0,0,< 1 Year,Yes,32107.0,151.0,147,1
128418,Female,39,1,28.0,0,1-2 Year,Yes,46397.0,124.0,221,1
188663,Male,21,1,36.0,0,< 1 Year,No,49873.0,152.0,158,0
357219,Male,54,1,8.0,1,1-2 Year,No,104280.0,124.0,74,0
320209,Female,23,1,47.0,1,< 1 Year,No,24853.0,152.0,126,0
117273,Female,42,1,28.0,0,1-2 Year,Yes,38266.0,26.0,30,0
284140,Male,20,1,2.0,0,< 1 Year,Yes,35238.0,160.0,178,0
204296,Female,74,1,24.0,1,1-2 Year,No,28533.0,26.0,39,0
227209,Female,59,1,3.0,1,1-2 Year,Yes,25214.0,26.0,185,0
70301,Male,51,1,28.0,1,1-2 Year,No,28312.0,25.0,72,0
61118,Male,22,1,12.0,0,1-2 Year,Yes,2630.0,124.0,239,1
121866,Female,24,1,11.0,1,< 1 Year,No,32018.0,152.0,109,0
321200,Male,29,1,46.0,1,< 1 Year,No,39200.0,152.0,281,0
209822,Female,23,1,30.0,1,< 1 Year,No,20813.0,152.0,128,0
185614,Male,52,1,28.0,0,1-2 Year,Yes,33071.0,124.0,149,0
39286,Male,65,1,8.0,0,> 2 Years,Yes,50482.0,26.0,49,1
219827,Female,20,1,30.0,0,< 1 Year,Yes,43493.0,160.0,94,1
341438,Female,30,1,28.0,0,1-2 Year,Yes,68115.0,154.0,24,1
1694,Female,22,1,11.0,1,< 1 Year,No,36226.0,152.0,215,0
169174,Female,41,1,8.0,0,1-2 Year,Yes,42222.0,156.0,126,1
182693,Male,47,1,8.0,0,1-2 Year,Yes,47897.0,124.0,163,1
220108,Female,40,1,33.0,0,1-2 Year,Yes,27163.0,124.0,194,1
175424,Female,44,1,28.0,0,1-2 Year,Yes,30355.0,26.0,278,1
284323,Male,71,1,41.0,0,1-2 Year,Yes,30648.0,26.0,163,0
126014,Female,23,1,11.0,0,< 1 Year,Yes,49924.0,152.0,243,1
341659,Male,21,1,30.0,1,< 1 Year,No,40288.0,152.0,255,0
270846,Female,22,1,30.0,1,< 1 Year,No,45618.0,152.0,41,0
335265,Male,40,1,46.0,0,1-2 Year,Yes,34142.0,124.0,205,0
350620,Male,51,1,28.0,0,1-2 Year,Yes,30338.0,26.0,13,1
372469,Male,45,1,28.0,1,1-2 Year,No,29972.0,29.0,59,0
83785,Female,38,1,28.0,0,1-2 Year,Yes,37918.0,124.0,121,1
349362,Female,24,1,27.0,1,< 1 Year,No,24644.0,152.0,145,0
44881,Female,49,1,28.0,0,1-2 Year,Yes,36616.0,122.0,234,1
126032,Male,58,1,28.0,0,> 2 Years,Yes,50074.0,26.0,84,1
156913,Female,30,1,42.0,1,< 1 Year,Yes,27050.0,152.0,205,0
318487,Female,40,1,14.0,0,1-2 Year,Yes,27159.0,26.0,148,1
182269,Male,68,1,29.0,1,1-2 Year,No,68387.0,26.0,179,0
367459,Male,52,1,28.0,0,1-2 Year,Yes,2630.0,124.0,75,1
335057,Male,53,1,41.0,0,1-2 Year,Yes,34324.0,124.0,109,0
137884,Female,25,1,15.0,0,< 1 Year,Yes,33699.0,152.0,45,1
101174,Female,49,1,28.0,1,1-2 Year,No,2630.0,124.0,123,0
140510,Female,47,1,28.0,0,1-2 Year,Yes,38767.0,26.0,224,1
233238,Male,27,1,29.0,1,< 1 Year,Yes,2630.0,1.0,67,0
